candidate_id,model_kind,feature_selection_mode,feature_selection_top_k,feature_selection_min_features,feature_selection_min_abs_spearman,feature_selection_min_mutual_info,feature_selection_correlation_threshold,feature_selection_lasso_alpha,robust_clip,calibration,target_transform,prediction_clip,alpha,l1_ratio,epsilon,n_components,fit_intercept,max_iter,tol
54,ridge,none,40,8,0.0,0.0,0.95,0.03,none,none,none,0_100,10.0,,,,True,500000,0.0001
55,ridge,none,40,8,0.0,0.0,0.95,0.03,none,linear,none,0_100,10.0,,,,True,500000,0.0001
56,ridge,none,40,8,0.0,0.0,0.95,0.03,z=4,none,none,0_100,10.0,,,,True,500000,0.0001
57,ridge,none,40,8,0.0,0.0,0.95,0.03,z=4,linear,none,0_100,10.0,,,,True,500000,0.0001
58,ridge,none,40,8,0.0,0.0,0.95,0.03,z=5,none,none,0_100,10.0,,,,True,500000,0.0001
59,ridge,none,40,8,0.0,0.0,0.95,0.03,z=5,linear,none,0_100,10.0,,,,True,500000,0.0001
60,ridge,none,40,8,0.0,0.0,0.95,0.03,none,none,none,0_100,30.0,,,,True,500000,0.0001
61,ridge,none,40,8,0.0,0.0,0.95,0.03,none,linear,none,0_100,30.0,,,,True,500000,0.0001
62,ridge,none,40,8,0.0,0.0,0.95,0.03,z=4,none,none,0_100,30.0,,,,True,500000,0.0001
63,ridge,none,40,8,0.0,0.0,0.95,0.03,z=4,linear,none,0_100,30.0,,,,True,500000,0.0001
64,ridge,none,40,8,0.0,0.0,0.95,0.03,z=5,none,none,0_100,30.0,,,,True,500000,0.0001
65,ridge,none,40,8,0.0,0.0,0.95,0.03,z=5,linear,none,0_100,30.0,,,,True,500000,0.0001
66,ridge,none,40,8,0.0,0.0,0.95,0.03,none,none,none,0_100,100.0,,,,True,500000,0.0001
67,ridge,none,40,8,0.0,0.0,0.95,0.03,none,linear,none,0_100,100.0,,,,True,500000,0.0001
68,ridge,none,40,8,0.0,0.0,0.95,0.03,z=4,none,none,0_100,100.0,,,,True,500000,0.0001
69,ridge,none,40,8,0.0,0.0,0.95,0.03,z=4,linear,none,0_100,100.0,,,,True,500000,0.0001
70,ridge,none,40,8,0.0,0.0,0.95,0.03,z=5,none,none,0_100,100.0,,,,True,500000,0.0001
71,ridge,none,40,8,0.0,0.0,0.95,0.03,z=5,linear,none,0_100,100.0,,,,True,500000,0.0001
72,ridge,none,40,8,0.0,0.0,0.95,0.03,none,none,none,0_100,300.0,,,,True,500000,0.0001
73,ridge,none,40,8,0.0,0.0,0.95,0.03,none,linear,none,0_100,300.0,,,,True,500000,0.0001
74,ridge,none,40,8,0.0,0.0,0.95,0.03,z=4,none,none,0_100,300.0,,,,True,500000,0.0001
75,ridge,none,40,8,0.0,0.0,0.95,0.03,z=4,linear,none,0_100,300.0,,,,True,500000,0.0001
76,ridge,none,40,8,0.0,0.0,0.95,0.03,z=5,none,none,0_100,300.0,,,,True,500000,0.0001
77,ridge,none,40,8,0.0,0.0,0.95,0.03,z=5,linear,none,0_100,300.0,,,,True,500000,0.0001
78,ridge,none,40,8,0.0,0.0,0.95,0.03,none,none,none,0_100,1000.0,,,,True,500000,0.0001
79,ridge,none,40,8,0.0,0.0,0.95,0.03,none,linear,none,0_100,1000.0,,,,True,500000,0.0001
