column,family,signal,phase,window,metric,description,unit,dtype,non_null_count,non_null_pct,missing_count,missing_pct,n_unique,is_all_null,is_constant_non_null,is_mostly_missing,is_sparse_or_rare,zero_pct,min,p05,p25,median,p75,p95,max,mean,std,example_values,analysis_role,recommended_for_eda,candidate_model_feature,caution
sleep_stress_iqr,distribution/shape,stress,sleep,sleep_phase,iqr,iqr for stress in sleep.,stress points,float64,555,94.22750424448218,34,5.772495755517826,51,False,False,False,False,0.0,4.0,6.425000000000001,9.0,11.0,13.0,18.0,40.0,11.313063063063064,4.276911151289333,7; 11; 10,feature,True,True,
sleep_stress_kurtosis,distribution/shape,stress,sleep,sleep_phase,kurtosis,kurtosis for stress in sleep.,stress points,float64,555,94.22750424448218,34,5.772495755517826,555,False,False,False,False,0.0,-1.4267486960580857,-0.08267084858185432,2.0488432296924657,4.1063441927533315,7.023042166592566,16.012962880842828,43.92848907994528,5.481232349839449,5.314658213023936,8.291; 14.97; 4.379,feature,True,True,
sleep_stress_mad,distribution/shape,stress,sleep,sleep_phase,mad,mad for stress in sleep.,stress points,float64,555,94.22750424448218,34,5.772495755517826,22,False,False,False,False,0.0,1.0,3.0,4.0,5.0,6.0,8.0,17.5,5.293693693693694,1.8993255929350945,3; 6; 5,feature,True,True,
sleep_stress_max,distribution/shape,stress,sleep,sleep_phase,max,max for stress in sleep.,stress points,float64,555,94.22750424448218,34,5.772495755517826,73,False,False,False,False,0.0,19.0,36.0,54.0,67.0,77.0,89.0,97.0,65.13153153153154,16.051796688647986,51; 89; 54,feature,True,True,
sleep_stress_mean,distribution/shape,stress,sleep,sleep_phase,mean,mean for stress in sleep.,stress points,float64,555,94.22750424448218,34,5.772495755517826,554,False,False,False,False,0.0,3.246520874751491,6.496918532886616,10.214450926916836,13.573221757322175,18.143133369247344,26.945414792603692,69.55924170616113,14.934057689217468,7.251959894079938,5.536; 9.316; 7.866,feature,True,True,
sleep_stress_median,distribution/shape,stress,sleep,sleep_phase,median,median for stress in sleep.,stress points,float64,555,94.22750424448218,34,5.772495755517826,46,False,False,False,False,0.0,1.0,4.0,9.0,12.0,16.0,23.0,75.0,12.918018018018017,7.128551881525677,4; 7; 6,feature,True,True,
sleep_stress_min,distribution/shape,stress,sleep,sleep_phase,min,min for stress in sleep.,stress points,float64,555,94.22750424448218,34,5.772495755517826,19,False,False,False,False,42.16216216216216,0.0,0.0,0.0,1.0,2.0,8.0,27.0,1.8684684684684685,3.1740496763763577,0; 1; 5,feature,True,True,
sleep_stress_p10,distribution/shape,stress,sleep,sleep_phase,p10,p10 for stress in sleep.,stress points,float64,555,94.22750424448218,34,5.772495755517826,50,False,False,False,False,7.027027027027027,0.0,0.0,1.0,4.0,7.0,14.0,46.0,5.038378378378379,5.03751199503019,0; 2; 1,feature,True,True,
sleep_stress_p25,distribution/shape,stress,sleep,sleep_phase,p25,p25 for stress in sleep.,stress points,float64,555,94.22750424448218,34,5.772495755517826,48,False,False,False,False,0.9009009009009009,0.0,1.0,4.0,7.0,11.0,17.0,62.0,8.022522522522523,6.0959621059550955,1; 2; 5,feature,True,True,
sleep_stress_p75,distribution/shape,stress,sleep,sleep_phase,p75,p75 for stress in sleep.,stress points,float64,555,94.22750424448218,34,5.772495755517826,61,False,False,False,False,0.0,5.0,9.0,14.0,18.0,22.0,32.0,81.0,19.335585585585587,8.623800053328708,8; 13; 11,feature,True,True,
