feature_set,feature_order,feature,source,dtype,non_null_count,missing_pct,modeling_non_null_count,modeling_missing_pct,family,phase,window,metric,candidate_model_feature,aggregate_review_group,included_in_aggregate_plus_monitoring_full
aggregate_stage3_baseline,30,agg__awakeUncatShare,aggregate Stage 3,float64,581,1.3582342954159592,472,0.0,direct_monitoring_overlap,aggregate,day_D,awakeUncatShare,True,direct_monitoring_overlap,False
aggregate_stage3_baseline,31,agg__moderateIntensityMinutes,aggregate Stage 3,Int64,582,1.1884550084889642,472,0.0,non_overlapping_day_context,aggregate,day_D,moderateIntensityMinutes,True,non_overlapping_day_context,True
aggregate_stage3_baseline,32,agg__vigorousIntensityMinutes,aggregate Stage 3,Int64,582,1.1884550084889642,472,0.0,non_overlapping_day_context,aggregate,day_D,vigorousIntensityMinutes,True,non_overlapping_day_context,True
aggregate_stage3_baseline,33,next_sleep_start_hour_local_wrapped,aggregate Stage 3,float64,524,11.03565365025467,472,0.0,schedule/context,wake/pre-sleep,next_sleep_boundary,start_hour_local_wrapped,True,,True
monitoring_core_wake_pre_sleep,1,wake_hr_mean,monitoring core v0,float64,557,5.432937181663837,472,0.0,distribution/shape,wake,wake_phase,mean,True,,True
monitoring_core_wake_pre_sleep,2,wake_hr_median,monitoring core v0,float64,557,5.432937181663837,472,0.0,distribution/shape,wake,wake_phase,median,True,,True
monitoring_core_wake_pre_sleep,3,wake_hr_std,monitoring core v0,float64,557,5.432937181663837,472,0.0,distribution/shape,wake,wake_phase,std,True,,True
monitoring_core_wake_pre_sleep,4,wake_hr_p90,monitoring core v0,float64,557,5.432937181663837,472,0.0,distribution/shape,wake,wake_phase,p90,True,,True
monitoring_core_wake_pre_sleep,5,wake_hr_histogram_entropy,monitoring core v0,float64,557,5.432937181663837,472,0.0,distribution/shape,wake,wake_phase,histogram_entropy,True,,True
monitoring_core_wake_pre_sleep,6,wake_stress_mean,monitoring core v0,float64,557,5.432937181663837,472,0.0,distribution/shape,wake,wake_phase,mean,True,,True
monitoring_core_wake_pre_sleep,7,wake_stress_median,monitoring core v0,float64,557,5.432937181663837,472,0.0,distribution/shape,wake,wake_phase,median,True,,True
monitoring_core_wake_pre_sleep,8,wake_stress_std,monitoring core v0,float64,557,5.432937181663837,472,0.0,distribution/shape,wake,wake_phase,std,True,,True
monitoring_core_wake_pre_sleep,9,wake_stress_p90,monitoring core v0,float64,557,5.432937181663837,472,0.0,distribution/shape,wake,wake_phase,p90,True,,True
monitoring_core_wake_pre_sleep,10,wake_stress_histogram_entropy,monitoring core v0,float64,557,5.432937181663837,472,0.0,distribution/shape,wake,wake_phase,histogram_entropy,True,,True
