candidate_type,candidate_id,model_kind,feature_selection_mode,feature_selection_top_k,feature_selection_min_features,feature_selection_min_abs_spearman,feature_selection_min_mutual_info,feature_selection_correlation_threshold,feature_selection_lasso_alpha,robust_clip,calibration,target_transform,prediction_clip,alpha,l1_ratio,epsilon,n_components,fit_intercept,max_iter,tol,train_n_rows,train_n_rows_std,train_n_rows_min,train_n_rows_max,train_mae,train_mae_std,train_mae_min,train_mae_max,train_rmse,train_rmse_std,train_rmse_min,train_rmse_max,train_r2,train_r2_std,train_r2_min,train_r2_max,train_pearson,train_pearson_std,train_pearson_min,train_pearson_max,train_spearman,train_spearman_std,train_spearman_min,train_spearman_max,train_bias_pred_minus_target,train_bias_pred_minus_target_std,train_bias_pred_minus_target_min,train_bias_pred_minus_target_max,train_pred_mean,train_pred_mean_std,train_pred_mean_min,train_pred_mean_max,train_pred_min,train_pred_min_std,train_pred_min_min,train_pred_min_max,train_pred_max,train_pred_max_std,train_pred_max_min,train_pred_max_max,valid_n_rows,valid_n_rows_std,valid_n_rows_min,valid_n_rows_max,valid_mae,valid_mae_std,valid_mae_min,valid_mae_max,valid_rmse,valid_rmse_std,valid_rmse_min,valid_rmse_max,valid_r2,valid_r2_std,valid_r2_min,valid_r2_max,valid_pearson,valid_pearson_std,valid_pearson_min,valid_pearson_max,valid_spearman,valid_spearman_std,valid_spearman_min,valid_spearman_max,valid_bias_pred_minus_target,valid_bias_pred_minus_target_std,valid_bias_pred_minus_target_min,valid_bias_pred_minus_target_max,valid_pred_mean,valid_pred_mean_std,valid_pred_mean_min,valid_pred_mean_max,valid_pred_min,valid_pred_min_std,valid_pred_min_min,valid_pred_min_max,valid_pred_max,valid_pred_max_std,valid_pred_max_min,valid_pred_max_max,selected_feature_count,selected_feature_count_std,selected_feature_count_min,selected_feature_count_max,calibration_applied,calibration_applied_std,calibration_applied_min,calibration_applied_max,calibration_intercept,calibration_intercept_std,calibration_intercept_min,calibration_intercept_max,calibration_slope,calibration_slope_std,calibration_slope_min,calibration_slope_max,tuning_repeated_holdout_repeats,tuning_repeated_holdout_random_states,selection_metric,selection_metric_value,selection_metric_std,selection_rank,mean_train_mae,std_train_mae,mean_train_rmse,std_train_rmse,mean_train_r2,std_train_r2,mean_valid_mae,std_valid_mae,mean_valid_rmse,std_valid_rmse,mean_valid_r2,std_valid_r2,mean_valid_pearson,std_valid_pearson,mean_valid_spearman,std_valid_spearman,mean_selected_feature_count,std_selected_feature_count,model_param_1,model_param_2,feature_selection_param_1,feature_selection_param_2,model_parameter_label,feature_selection_parameter_label,feature_selection_config_label,candidate_short_label,mean_mae_generalization_gap,test_mae,test_rmse,test_r2,test_pearson,test_spearman,test_bias_pred_minus_target,test_pred_mean,test_pred_min,test_pred_max,selected_feature_count_final_refit,baseline_value
linear_family,11535.0,huber,top_spearman,90.0,8.0,0.0,0.0,0.95,0.03,z=4,linear,none,0_100,30.0,,1.15,,True,500000.0,0.0001,330.0,0.0,330.0,330.0,3.572319094827408,0.12910572645905488,3.4292645442417946,3.680175907305286,5.383314788702577,0.1625215340251884,5.20177154683122,5.515254206762085,0.4110659872280203,0.02843732108344203,0.38310641921364563,0.4399581200689744,0.647734606337086,0.023369216467487065,0.6247859536295817,0.6715028247713404,0.6482853932900917,0.018902364047965234,0.626493829922878,0.6602513109983886,-0.005571656205613208,0.03086369029917281,-0.03931258164129543,0.02123509565561807,16.280115177754023,0.10132280900085651,16.176386582803786,16.378847327388822,3.8878821010932527,0.6092503079850821,3.246542216472906,4.4589483334643765,27.404982613831734,0.9687395296707425,26.286405077040765,27.97094198839731,71.0,0.0,71.0,71.0,3.610268250701535,0.39519132771592086,3.353549775806716,4.065350465589514,4.951843305354694,0.6515761901923677,4.394520211103905,5.668220237275557,0.3503212215681611,0.11766871842077879,0.26264515173411085,0.4840514551379591,0.5952284042822312,0.10375552408165749,0.5131776670766334,0.7118577818427094,0.58108450778593,0.09717716339999116,0.5123243572417105,0.6922593248006929,0.14638190928948208,0.3595585531828722,-0.1748663311069684,0.5347822995392617,15.729527386691858,0.26838606161959266,15.482328302361493,16.014992730067018,8.96788533378036,1.4527797373783153,7.548614807100809,10.45200258168212,24.725816223161157,1.6514682547374633,22.9721667366347,26.25139554653132,90.0,0.0,90.0,90.0,1.0,0.0,True,True,-2.4160575926752137,0.03954202942563272,-2.4601728737230397,-2.3838041895681927,1.1733163078592892,0.00464731449776017,1.1681219883387357,1.1770804361623686,3.0,"42,1051,2060",mae,3.610268250701535,0.39519132771592086,1.0,3.572319094827408,0.12910572645905488,5.383314788702577,0.1625215340251884,0.4110659872280203,0.02843732108344203,3.610268250701535,0.39519132771592086,4.951843305354694,0.6515761901923677,0.3503212215681611,0.11766871842077879,0.5952284042822312,0.10375552408165749,0.58108450778593,0.09717716339999116,90.0,0.0,alpha=30,epsilon=1.15,top_k=90,min_features=8,"alpha=30, epsilon=1.15","top_k=90, min_features=8",top_spearman_90,Huber alpha=30 eps=1.15 | top_spearman_90 | clip=z=4 | cal=linear,0.03794915587412717,5.335537074764082,8.736232136634777,0.279234461556611,0.5710889052122532,0.5876306810290433,-1.8334866117612063,16.93397815359945,7.34686786235892,26.962723441872214,90.0,
linear_family,11537.0,huber,top_spearman,90.0,8.0,0.0,0.0,0.95,0.03,z=5,linear,none,0_100,30.0,,1.15,,True,500000.0,0.0001,330.0,0.0,330.0,330.0,3.5709812629342874,0.12455031027687037,3.433407367614437,3.6760703769890273,5.361378373626715,0.1602573218433644,5.182394204861174,5.491563328427886,0.41585763419068966,0.027937403294551705,0.38825997756618613,0.4441228205266261,0.651236024433662,0.02264556977193601,0.6291116753915867,0.674369102603306,0.6489448885065445,0.018618870424644614,0.6274591974867486,0.6603481482357794,-0.007115140032462965,0.034295817546523305,-0.04157628454462262,0.027012924356133217,16.278571693927173,0.09434188287439804,16.182164411504303,16.370702750111086,3.0757711069489653,0.3895244688941382,2.772893715195987,3.5151825029915384,27.335229573892466,1.1404667477803017,26.018380975476866,28.00348898523649,71.0,0.0,71.0,71.0,3.611107419595337,0.4022529554562755,3.3355918655077192,4.072710568329329,4.958430145381429,0.6472288776810998,4.411114901816695,5.672814142850108,0.3482703304431118,0.11934248962854103,0.26144946382181755,0.48435887697410884,0.5941715210306103,0.10504950463426457,0.5121081905740938,0.7125634200336757,0.5813360027821984,0.09800521236857788,0.510396056492781,0.6931647649871783,0.14250683982425127,0.37187190954140775,-0.18300116772807404,0.5477935627754965,15.725652317226631,0.271148525425395,15.46582666735067,16.00685789344592,8.847855654453879,1.5572278150122012,7.3546308289143685,10.462032579604154,24.736162553837346,1.6332693539899212,22.96324406082534,26.179522864747682,90.0,0.0,90.0,90.0,1.0,0.0,True,True,-2.5399198944384995,0.10581000031082101,-2.6315320098003228,-2.424105470079205,1.1807160116132505,0.009576112608548988,1.169931566580149,1.188223356274648,3.0,"42,1051,2060",mae,3.611107419595337,0.4022529554562755,2.0,3.5709812629342874,0.12455031027687037,5.361378373626715,0.1602573218433644,0.41585763419068966,0.027937403294551705,3.611107419595337,0.4022529554562755,4.958430145381429,0.6472288776810998,0.3482703304431118,0.11934248962854103,0.5941715210306103,0.10504950463426457,0.5813360027821984,0.09800521236857788,90.0,0.0,alpha=30,epsilon=1.15,top_k=90,min_features=8,"alpha=30, epsilon=1.15","top_k=90, min_features=8",top_spearman_90,Huber alpha=30 eps=1.15 | top_spearman_90 | clip=z=5 | cal=linear,0.040126156661049794,5.3424176531699,8.660144078103707,0.2917347771233657,0.5824341615731184,0.5810913907933153,-1.8086558085979065,16.95880895676275,7.258494746019126,27.379013816582624,90.0,
linear_family,11529.0,huber,top_spearman,90.0,8.0,0.0,0.0,0.95,0.03,z=4,linear,none,0_100,30.0,,1.1,,True,500000.0,0.0001,330.0,0.0,330.0,330.0,3.566053554339837,0.12902759808886138,3.4241150616804603,3.6762429395623037,5.395349555552773,0.1644617985650791,5.213240911370036,5.5330409280730075,0.40845287242220163,0.028028521106007925,0.38155024561159534,0.43748572934561836,0.6461632868013026,0.023639474573266667,0.6233449121086654,0.670546143265875,0.6466781175788001,0.018345099847337842,0.6255065904892623,0.657870114520473,-0.013462609257599118,0.05759893496133337,-0.05211248263355015,0.05273745702696659,16.27222422470204,0.0642915764940401,16.207888944175135,16.33647200785377,3.8229352912351864,0.619061194250807,3.123018213602882,4.298686618223898,27.194408296339944,1.076234187689152,25.951770116603324,27.828680858583372,71.0,0.0,71.0,71.0,3.6117970627758074,0.3986563048082225,3.3620804128407453,4.071555440628156,4.957789011903518,0.6637938603931788,4.386989238959502,5.686204703399426,0.3490229331362016,0.11809696748688925,0.2579586821642481,0.48246052134086936,0.5926637935927753,0.10349150083134269,0.5081978537875267,0.7081061857300812,0.5783681574236165,0.0935514805789177,0.5087695767306403,0.6847139899133142,0.13727395306630452,0.2926964298553644,-0.11554008100504597,0.45793595248982943,15.720419430468686,0.3145900176687657,15.472524530639468,16.074318980168947,8.938775287745932,1.7547478260213947,7.2103177335180115,10.718681844076542,24.6791751407426,1.7476732982058059,22.789983611640128,26.238245056122945,90.0,0.0,90.0,90.0,1.0,0.0,True,True,-2.3982608932885063,0.08249040115330622,-2.4577601728209233,-2.304094306343967,1.1706753924721018,0.005073244767495408,1.1676049336368173,1.1765311570853578,3.0,"42,1051,2060",mae,3.6117970627758074,0.3986563048082225,3.0,3.566053554339837,0.12902759808886138,5.395349555552773,0.1644617985650791,0.40845287242220163,0.028028521106007925,3.6117970627758074,0.3986563048082225,4.957789011903518,0.6637938603931788,0.3490229331362016,0.11809696748688925,0.5926637935927753,0.10349150083134269,0.5783681574236165,0.0935514805789177,90.0,0.0,alpha=30,epsilon=1.1,top_k=90,min_features=8,"alpha=30, epsilon=1.1","top_k=90, min_features=8",top_spearman_90,Huber alpha=30 eps=1.1 | top_spearman_90 | clip=z=4 | cal=linear,0.045743508435970526,5.319826987193427,8.716227002323567,0.28253165011595804,0.5744588206205828,0.5931974614348426,-1.8189794136003652,16.94848535176029,7.495385963052907,26.989734949514133,90.0,
linear_family,59907.0,huber,spearman_then_correlation,90.0,8.0,0.0,0.0,0.99,0.03,z=4,linear,none,0_100,30.0,,1.15,,True,500000.0,0.0001,330.0,0.0,330.0,330.0,3.577575734954411,0.1270514369908254,3.4385030052377816,3.687561445027546,5.389198940806389,0.1591874314838892,5.212032612768058,5.52020506440523,0.40979081853294536,0.027604177322518807,0.38255206261877095,0.4377464525507718,0.646320050690239,0.022769454679506366,0.6239282833606355,0.6694492756010946,0.6489050406342961,0.018057606024120515,0.6280582529725957,0.6596968343339492,-0.0029753100047758808,0.03673821677229541,-0.04365251125508187,0.027790205093976044,16.28271152395486,0.10075375340305871,16.182941692242142,16.38442118616676,3.7937792385412306,0.6764669768819384,3.0452457879060537,4.361387179774969,27.345686057464892,0.9694030377435681,26.238049982711086,28.03950050199012,71.0,0.0,71.0,71.0,3.6132515106759464,0.3851172201750767,3.3733564911166627,4.057472142943973,4.950159443986627,0.6437741474806474,4.390897245932575,5.65389489141773,0.3510174220874154,0.11447992855960465,0.266367489599751,0.48127102837752367,0.596001749423011,0.10066121162834468,0.5166179032098758,0.7092214444718412,0.5793239068716601,0.09470422431427418,0.5096079683606097,0.6871452644881363,0.15747587842575653,0.3539612521272948,-0.14938874511335126,0.5447118367080918,15.740621355828134,0.2822072405962478,15.480203086607869,16.04047031606064,8.931751214333689,1.4604608129761876,7.4827302391012065,10.403389165132282,24.787480938595305,1.6115274925562713,23.058031911078125,26.24699567182595,85.0,0.0,85.0,85.0,1.0,0.0,True,True,-2.579236244269863,0.05455344440872644,-2.6421360476335476,-2.544821658884261,1.1842029121905433,0.005470102947748156,1.1790031909736158,1.189908284143156,3.0,"42,1051,2060",mae,3.6132515106759464,0.3851172201750767,4.0,3.577575734954411,0.1270514369908254,5.389198940806389,0.1591874314838892,0.40979081853294536,0.027604177322518807,3.6132515106759464,0.3851172201750767,4.950159443986627,0.6437741474806474,0.3510174220874154,0.11447992855960465,0.596001749423011,0.10066121162834468,0.5793239068716601,0.09470422431427418,85.0,0.0,alpha=30,epsilon=1.15,top_k=90,corr=0.99,"alpha=30, epsilon=1.15","top_k=90, corr=0.99, min_features=8",spearman_then_correlation_90_corr0.99,Huber alpha=30 eps=1.15 | spearman_then_correlation_90_corr0.99 | clip=z=4 | cal=linear,0.03567577572153535,5.317502254344235,8.711251338741123,0.28335055081799165,0.5755829690597658,0.5861216140515676,-1.8345856668889169,16.932879098471744,7.39233517313089,27.02524924008495,85.0,
linear_family,59852.0,huber,spearman_then_correlation,90.0,8.0,0.0,0.0,0.99,0.03,z=4,none,none,0_100,10.0,,1.15,,True,500000.0,0.0001,330.0,0.0,330.0,330.0,3.48549009339375,0.15110743701609583,3.3161643044903273,3.6066227072130213,5.406151037845732,0.17040138313525377,5.224295609999083,5.562140905871436,0.4061567905945491,0.0264257422441676,0.3833112450232038,0.43509757236571645,0.6571799321875161,0.023758521809227738,0.6350463268857349,0.682284006504164,0.6596305466267564,0.019413263696193093,0.6374778495167758,0.6736764600325329,-0.3758248787495309,0.06439731789111207,-0.44572305347315433,-0.31890539245419275,15.909861955210104,0.1358444832224486,15.792305296826921,16.05857941756579,4.478563613108638,0.17377821485307976,4.280758173517295,4.606683177507723,26.17697947264823,0.14502018515257428,26.021959857310332,26.309330352945768,71.0,0.0,71.0,71.0,3.616020605978154,0.42436982948346663,3.353288685262285,4.1056025703804915,4.996974457181985,0.7241781954447161,4.3277085905839865,5.765769179003061,0.3411937730775962,0.11295861515871262,0.23704730374600058,0.4612727680354193,0.5865444695701826,0.10280266222346153,0.491310872443087,0.6955315283898729,0.5769373314750951,0.09796863101743518,0.5079479529332702,0.689073516737133,-0.14588849503989895,0.3307762973294364,-0.427670995134668,0.21830059614176045,15.437256982362479,0.2986348166976631,15.174803456798552,15.76218806603932,8.84022344753066,1.4534380515750618,7.205304692944189,9.985955073410919,23.36440321918921,1.1416240730398952,22.1678054959582,24.44168114163407,85.0,0.0,85.0,85.0,0.0,0.0,False,False,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,3.0,"42,1051,2060",mae,3.616020605978154,0.42436982948346663,5.0,3.48549009339375,0.15110743701609583,5.406151037845732,0.17040138313525377,0.4061567905945491,0.0264257422441676,3.616020605978154,0.42436982948346663,4.996974457181985,0.7241781954447161,0.3411937730775962,0.11295861515871262,0.5865444695701826,0.10280266222346153,0.5769373314750951,0.09796863101743518,85.0,0.0,alpha=10,epsilon=1.15,top_k=90,corr=0.99,"alpha=10, epsilon=1.15","top_k=90, corr=0.99, min_features=8",spearman_then_correlation_90_corr0.99,Huber alpha=10 eps=1.15 | spearman_then_correlation_90_corr0.99 | clip=z=4,0.13053051258440407,5.276400274474832,8.944956820702501,0.2443822003178473,0.5657564660804058,0.6119434267772631,-2.309477194394715,16.457987570965937,7.271141377408833,25.356643876991342,85.0,
linear_family,59909.0,huber,spearman_then_correlation,90.0,8.0,0.0,0.0,0.99,0.03,z=5,linear,none,0_100,30.0,,1.15,,True,500000.0,0.0001,330.0,0.0,330.0,330.0,3.576022026630209,0.12405608762173752,3.440582745524358,3.6841404756576415,5.367615342331657,0.15742745372546674,5.192404028215439,5.497163218462378,0.41450955051234883,0.027211086920735383,0.38755845995180604,0.44197338695365496,0.6497061726410444,0.02213732011546273,0.6280713222564747,0.6723138852989695,0.6490323759595172,0.01851953503996111,0.6276730743199064,0.6606111114235217,-0.0048070725947960335,0.03873966157497113,-0.0456645454535717,0.031393840686222065,16.280879761364844,0.09541215233821292,16.18654532783439,16.37733429700295,2.936303115092345,0.4183350337108615,2.5476056842752226,3.3790264082801023,27.34939549262744,1.1542095500664258,26.023519563120114,28.129548857944997,71.0,0.0,71.0,71.0,3.61621994706119,0.3940151424155727,3.3575547689034493,4.0696932103221695,4.95561683685218,0.6409629545782841,4.406134484771958,5.659759186279153,0.3492403444268823,0.11660314319505377,0.2648448335856435,0.48229150548180344,0.5951115269072617,0.10220224921210579,0.515250283317584,0.7102879862829661,0.5795754067882116,0.09794528693158956,0.5082665417526586,0.6912532801490424,0.15169547585983054,0.3661409198259848,-0.1590078261568957,0.5553549333462532,15.734840953262207,0.28520352811630106,15.461837863315472,16.030851235017096,8.7927578732226,1.5615464671889938,7.275483081775453,10.395098578540066,24.810486644275745,1.6131667779750887,23.061319148217347,26.239702573675736,85.0,0.0,85.0,85.0,1.0,0.0,True,True,-2.7172051367178685,0.1551687973363871,-2.89253066995984,-2.5975568466232155,1.1924237452430697,0.011728798341150521,1.1815076344519215,1.204823962004091,3.0,"42,1051,2060",mae,3.61621994706119,0.3940151424155727,6.0,3.576022026630209,0.12405608762173752,5.367615342331657,0.15742745372546674,0.41450955051234883,0.027211086920735383,3.61621994706119,0.3940151424155727,4.95561683685218,0.6409629545782841,0.3492403444268823,0.11660314319505377,0.5951115269072617,0.10220224921210579,0.5795754067882116,0.09794528693158956,85.0,0.0,alpha=30,epsilon=1.15,top_k=90,corr=0.99,"alpha=30, epsilon=1.15","top_k=90, corr=0.99, min_features=8",spearman_then_correlation_90_corr0.99,Huber alpha=30 eps=1.15 | spearman_then_correlation_90_corr0.99 | clip=z=5 | cal=linear,0.040197920430980805,5.322165088317356,8.645929991253434,0.2940578519875031,0.5856096210254871,0.581745319816888,-1.8186084298150353,16.948856335545624,7.3227731500799695,27.37872407001558,85.0,
linear_family,11531.0,huber,top_spearman,90.0,8.0,0.0,0.0,0.95,0.03,z=5,linear,none,0_100,30.0,,1.1,,True,500000.0,0.0001,330.0,0.0,330.0,330.0,3.565851618706636,0.12474067125513742,3.4287102401764327,3.672559124649443,5.374297556992459,0.15961761800468172,5.197361775678484,5.507465346369671,0.41306014488013637,0.02723813028134469,0.3864748608167309,0.4409072619856621,0.6494352156079602,0.02265893048391893,0.6274767431188006,0.6727350137363255,0.647649105823671,0.018723071243643804,0.6260306805589595,0.6586484857511268,-0.023384260542495598,0.049548114056482705,-0.05718645368117898,0.033492758915699805,16.26230257341714,0.07131891921800888,16.18864424606387,16.33102572315798,2.864526758710054,0.21330832232290756,2.647486070123141,3.073895727166175,27.134904055389097,1.2335214856659373,25.710689872395715,27.86391458795181,71.0,0.0,71.0,71.0,3.6162609842542004,0.40229820853233,3.351604968811471,4.079212257499644,4.965933261723106,0.6558429219557355,4.40738671578078,5.688093941708015,0.34655008763831346,0.11923010095064622,0.2574655146311011,0.48199766063172333,0.5914694379454231,0.10415913381543765,0.5079301886487549,0.7081725032420692,0.5776192127906733,0.09773316624105606,0.5087360410654415,0.6894759345977933,0.12440973160047474,0.3197715824208439,-0.15075072365449713,0.475224355660239,15.707555209002853,0.30088541089669346,15.451854105721017,16.039108337519497,8.791840512753337,1.8447630844243432,7.020924142150269,10.70250221146202,24.67654540028578,1.7183532712115652,22.79281201794746,26.15822629364089,90.0,0.0,90.0,90.0,1.0,0.0,True,True,-2.5222957791508835,0.06856873131537825,-2.5903743777970787,-2.4532472064994484,1.178112404957447,0.008702310328035331,1.168366297247444,1.1851044782612021,3.0,"42,1051,2060",mae,3.6162609842542004,0.40229820853233,7.0,3.565851618706636,0.12474067125513742,5.374297556992459,0.15961761800468172,0.41306014488013637,0.02723813028134469,3.6162609842542004,0.40229820853233,4.965933261723106,0.6558429219557355,0.34655008763831346,0.11923010095064622,0.5914694379454231,0.10415913381543765,0.5776192127906733,0.09773316624105606,90.0,0.0,alpha=30,epsilon=1.1,top_k=90,min_features=8,"alpha=30, epsilon=1.1","top_k=90, min_features=8",top_spearman_90,Huber alpha=30 eps=1.1 | top_spearman_90 | clip=z=5 | cal=linear,0.050409365547564366,5.322704772801263,8.640675904273897,0.2949155860790621,0.5858875129091643,0.5889050042544672,-1.7939492675586368,16.973515497802023,7.41569876285268,27.303046505612794,90.0,
linear_family,59901.0,huber,spearman_then_correlation,90.0,8.0,0.0,0.0,0.99,0.03,z=4,linear,none,0_100,30.0,,1.1,,True,500000.0,0.0001,330.0,0.0,330.0,330.0,3.5710018927182126,0.12916106581135722,3.42999442271115,3.683579978259586,5.399105012419732,0.16159217818891783,5.221705139712952,5.537894827237264,0.40765163539436006,0.026898970333665135,0.382016688124029,0.4356576479272243,0.6449160779532671,0.022955007247409568,0.6229457222749121,0.6687429831394006,0.646953602849054,0.018623753003486187,0.6254590066505035,0.6582761631761895,-0.01527670477645015,0.053064478544400925,-0.06073410016373011,0.043033698703205205,16.270410129183187,0.07580867080307675,16.198185185851376,16.34935509715116,3.7036953260068874,0.7469027969841421,2.869266323339314,4.309748297396788,27.19848616851962,0.996697751930683,26.054791498759634,27.881591246840806,71.0,0.0,71.0,71.0,3.61642586930972,0.38983320525857784,3.382570632256752,4.066450656841513,4.9560450094216995,0.6586830225296371,4.384566264721665,5.676436377552057,0.3496266813570899,0.1161301394121099,0.260505996468131,0.4809587756772129,0.5932380312685516,0.10109657418884194,0.5106856011573355,0.7059938904528876,0.577949008281031,0.09183998838662502,0.5130789097086831,0.6830372488272303,0.13979560405050978,0.2980483042267057,-0.11175736433372364,0.468977151417626,15.722941081452888,0.31783571075083994,15.465265567992965,16.078101696840267,8.890478293467103,1.7766750136492317,7.100267513655968,10.65330087636328,24.797966633201316,1.7427115709023424,22.92031701862274,26.36358292337116,85.0,0.0,85.0,85.0,1.0,0.0,True,True,-2.5876904030001757,0.04299145116507419,-2.6241602299935427,-2.54028823624604,1.1830384456449436,0.002746141969819506,1.180441997882316,1.1859131022017508,3.0,"42,1051,2060",mae,3.61642586930972,0.38983320525857784,8.0,3.5710018927182126,0.12916106581135722,5.399105012419732,0.16159217818891783,0.40765163539436006,0.026898970333665135,3.61642586930972,0.38983320525857784,4.9560450094216995,0.6586830225296371,0.3496266813570899,0.1161301394121099,0.5932380312685516,0.10109657418884194,0.577949008281031,0.09183998838662502,85.0,0.0,alpha=30,epsilon=1.1,top_k=90,corr=0.99,"alpha=30, epsilon=1.1","top_k=90, corr=0.99, min_features=8",spearman_then_correlation_90_corr0.99,Huber alpha=30 eps=1.1 | spearman_then_correlation_90_corr0.99 | clip=z=4 | cal=linear,0.04542397659150765,5.3006362100307465,8.690475619229096,0.2867647912914131,0.5788152657937659,0.5937004837606679,-1.8251895769914535,16.9422751883692,7.471895645899712,27.020807559487537,85.0,
linear_family,58190.0,huber,spearman_then_correlation,90.0,8.0,0.0,0.0,0.95,0.03,z=4,none,none,0_100,10.0,,1.2,,True,500000.0,0.0001,330.0,0.0,330.0,330.0,3.5092123411246017,0.1469738439436404,3.3442682318142025,3.6262732871528836,5.3975976239776955,0.1802956415634115,5.203348221189573,5.55958291050715,0.4080107448956638,0.028634918675112933,0.3838004234865692,0.439618567482159,0.6590051224087784,0.02473344124313111,0.6366850112871432,0.6855957513667776,0.6581465986017353,0.02113028496959229,0.6337601325425963,0.6710211155339664,-0.3952690379609014,0.04974446389217408,-0.4492782569620094,-0.35133029473323935,15.890417795998736,0.12878173679961213,15.769952924960716,16.026154515286745,4.638320816293219,0.2752174996944239,4.323074937034718,4.830724481129852,26.720968947527798,0.4010603406179421,26.45896574170221,27.182674552411264,71.0,0.0,71.0,71.0,3.617389425869318,0.4052293063361349,3.3710247603028316,4.085084645761158,4.986241226286249,0.7079744846746647,4.325579479401935,5.733552210888617,0.3440917049961601,0.1087692356214935,0.245549673482502,0.4608004523025815,0.590461506281129,0.09989706964766389,0.5002821431211704,0.6978423298416374,0.5814310615494801,0.09149559808622867,0.5155773167659919,0.6859044760844341,-0.15471627507336425,0.3285613703583973,-0.44380663969502704,0.2026026013445476,15.428429202329015,0.2892527615843363,15.180153756055729,15.746052421478964,9.025246614734945,1.295897470494485,7.640772892851555,10.20918932178259,23.44423502378886,1.112242210416766,22.468292126332067,24.655210158753018,68.33333333333333,1.5275252316519452,67.0,70.0,0.0,0.0,False,False,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,3.0,"42,1051,2060",mae,3.617389425869318,0.4052293063361349,9.0,3.5092123411246017,0.1469738439436404,5.3975976239776955,0.1802956415634115,0.4080107448956638,0.028634918675112933,3.617389425869318,0.4052293063361349,4.986241226286249,0.7079744846746647,0.3440917049961601,0.1087692356214935,0.590461506281129,0.09989706964766389,0.5814310615494801,0.09149559808622867,68.33333333333333,1.5275252316519452,alpha=10,epsilon=1.2,top_k=90,corr=0.95,"alpha=10, epsilon=1.2","top_k=90, corr=0.95, min_features=8",spearman_then_correlation_90_corr0.95,Huber alpha=10 eps=1.2 | spearman_then_correlation_90_corr0.95 | clip=z=4,0.10817708474471655,5.297127694180466,8.957523563029325,0.242257578682591,0.5602216366651136,0.5958634797617164,-2.2739006943191367,16.493564071041522,7.108635526073803,25.47876710631615,69.0,
linear_family,59844.0,huber,spearman_then_correlation,90.0,8.0,0.0,0.0,0.99,0.03,none,none,none,0_100,10.0,,1.1,,True,500000.0,0.0001,330.0,0.0,330.0,330.0,3.453269688697684,0.1457009596171868,3.2899304214558196,3.569853251717027,5.3499843420137765,0.18917641444832392,5.179296704988929,5.553383290481148,0.4186086001231913,0.02295062738814547,0.4019492785665769,0.44478711384684166,0.6673497817001376,0.020669666503201088,0.6549763365733383,0.6912115857378648,0.6569698587096123,0.024044599008477253,0.6294223230170133,0.6737424095469277,-0.32997400055601717,0.1094491741778195,-0.44727169538860484,-0.23058132147862986,15.955712833403618,0.1664499663647096,15.843082502347352,16.146903488541355,3.7044106502393377,0.34052917272280714,3.3212281683551623,3.972412012618916,30.348552027743377,3.8943439346716047,26.0940952415837,33.7369753988256,71.0,0.0,71.0,71.0,3.6181186755966497,0.4375906182903789,3.3297609133009747,4.121634306755712,5.006189271190133,0.7030490087821496,4.368251027691397,5.75996180467965,0.33799167559408033,0.1142667355111735,0.2385834458976761,0.462831599121305,0.5865395032527546,0.10652320776575887,0.4940838878033622,0.703025144502351,0.576920547335272,0.1068051096893734,0.505952580853943,0.699754357455489,-0.0969884906151699,0.41526358495662935,-0.43788484129966,0.3654975308335851,15.486156986787208,0.28541765051333995,15.184520381545903,15.751974219874327,8.767494120322484,1.3153628705209965,7.438842005449425,10.069152233580581,23.345837709628867,1.4963692502255233,21.745311729068547,24.709889997593955,85.0,0.0,85.0,85.0,0.0,0.0,False,False,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,3.0,"42,1051,2060",mae,3.6181186755966497,0.4375906182903789,10.0,3.453269688697684,0.1457009596171868,5.3499843420137765,0.18917641444832392,0.4186086001231913,0.02295062738814547,3.6181186755966497,0.4375906182903789,5.006189271190133,0.7030490087821496,0.33799167559408033,0.1142667355111735,0.5865395032527546,0.10652320776575887,0.576920547335272,0.1068051096893734,85.0,0.0,alpha=10,epsilon=1.1,top_k=90,corr=0.99,"alpha=10, epsilon=1.1","top_k=90, corr=0.99, min_features=8",spearman_then_correlation_90_corr0.99,Huber alpha=10 eps=1.1 | spearman_then_correlation_90_corr0.99 | clip=none,0.16484898689896577,5.286778605488926,8.725803853218583,0.28095416431396103,0.597498259353057,0.601933282493341,-2.1330421082790787,16.634422657081576,7.449235934782918,26.269907563018734,85.0,
