calendarDate,quality_score,day_quality_label_strict,day_quality_label_loose,corrupted_stress_only_day,has_steps,has_hr,has_stress_duration,has_bodybattery_end,has_sleep,full_day_stress,stressTotalDurationSeconds,totalSteps,minHeartRate,maxHeartRate,restingHeartRate,bodyBatteryStartOfDay,bodyBatteryEndOfDay,suspicion_reasons
2024-05-10,3,partial,good,False,True,True,False,True,False,False,16800,2668,66,133,47,44,12,"has_stress_duration,has_sleep,full_day_stress"
2025-07-15,3,partial,good,False,True,True,False,True,False,False,18660,317,57,99,50,19,7,"has_stress_duration,has_sleep,full_day_stress"
2024-08-15,3,partial,good,False,True,True,True,False,False,False,21900,1245,72,125,,72,,"has_bodybattery_end,has_sleep,full_day_stress"
2024-11-23,3,partial,good,False,False,True,True,True,False,False,22080,11,63,85,49,27,25,"has_steps,has_sleep,full_day_stress"
2024-01-12,3,partial,good,False,False,True,True,True,False,False,29100,28,39,84,45,60,22,"has_steps,has_sleep,full_day_stress"
2024-01-09,3,partial,good,False,True,True,True,False,False,False,30120,257,41,85,45,15,,"has_bodybattery_end,has_sleep,full_day_stress"
2024-05-08,3,partial,good,False,False,True,True,True,False,False,30780,43,48,94,46,5,10,"has_steps,has_sleep,full_day_stress"
2024-02-01,3,partial,good,False,False,True,True,True,False,False,32520,17,39,76,44,20,72,"has_steps,has_sleep,full_day_stress"
2025-12-04,3,partial,good,False,True,True,True,False,False,False,37140,3616,74,153,42,66,,"has_bodybattery_end,has_sleep,full_day_stress"
2025-12-24,3,partial,good,False,True,True,True,False,False,False,39720,3694,42,138,86,80,,"has_bodybattery_end,has_sleep,full_day_stress"
2025-11-20,3,partial,good,False,True,True,True,False,False,False,49560,1413,39,109,42,17,,"has_bodybattery_end,has_sleep,full_day_stress"
